case_id,root_service,fault_type,service_family,budget,policy,avg_at_5,top1,top3,top5
logservice1_memory_1625506342,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1625519722,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1625642174,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1625673674,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1625715126,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1625737305,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1625855415,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1625874131,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1625894863,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1625936756,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1625950367,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1625967061,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1626018993,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1626043063,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1626069816,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1626079498,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626086075,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1626102559,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1626106208,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626125407,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626139037,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1626180388,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1626208343,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1626218997,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1626328055,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626336834,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626371259,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626391352,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1626419736,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
