policy,dataset,fault,budget,cases,top1,top3,top5,avg5,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
abnormality_topk,RE2-TT,mem,1.0,15,0.8,1.0,1.0,0.9600000000000001,0.0,0.0,0.0
abnormality_topk,RE2-TT,socket,0.05,15,0.4666666666666667,0.8666666666666667,0.8666666666666667,0.76,0.49733492487078185,0.9499946754471509,0.8664260813450471
abnormality_topk,RE2-TT,socket,0.1,15,0.6,0.8666666666666667,0.8666666666666667,0.8133333333333332,0.4711671002622508,0.900006901126177,0.7605832934792144
abnormality_topk,RE2-TT,socket,0.25,15,0.8,1.0,1.0,0.9600000000000001,0.392647708212717,0.750030890542239,0.5391013271336764
abnormality_topk,RE2-TT,socket,0.5,15,0.7333333333333333,1.0,1.0,0.9466666666666667,0.2617945447773743,0.49999949940370725,0.21762482331481106
abnormality_topk,RE2-TT,socket,1.0,15,0.7333333333333333,1.0,1.0,0.9466666666666667,0.0,0.0,0.0
coverage_aware,RE2-OB,cpu,0.05,15,0.06666666666666667,0.8,1.0,0.6533333333333334,0.4430284318632118,0.9499860703974149,0.9071296753694853
coverage_aware,RE2-OB,cpu,0.1,15,0.06666666666666667,0.8,1.0,0.68,0.41970625569370823,0.899966773818713,0.8253664369189876
coverage_aware,RE2-OB,cpu,0.25,15,0.13333333333333333,0.8,1.0,0.7200000000000001,0.34975066403013627,0.7500213178002959,0.5911938590473329
coverage_aware,RE2-OB,cpu,0.5,15,0.13333333333333333,0.8,1.0,0.7200000000000001,0.23315888798445794,0.5000369194928596,0.22662951169423556
coverage_aware,RE2-OB,cpu,1.0,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0,0.0
coverage_aware,RE2-OB,delay,0.05,15,0.2,0.4,0.8666666666666667,0.49333333333333335,0.4555044280494798,0.9499959492070775,0.900651450713274
coverage_aware,RE2-OB,delay,0.1,15,0.2,0.4,0.7333333333333333,0.49333333333333335,0.4315348334096499,0.9000099911545482,0.8099400988796568
coverage_aware,RE2-OB,delay,0.25,15,0.2,0.4,0.9333333333333333,0.5466666666666667,0.3596005860185796,0.7499977109071058,0.5753696318291708
coverage_aware,RE2-OB,delay,0.5,15,0.2,0.4,0.9333333333333333,0.5466666666666667,0.2397214718260239,0.5000012398733285,0.21732670442057922
coverage_aware,RE2-OB,delay,1.0,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0,0.0
coverage_aware,RE2-OB,disk,0.05,15,0.13333333333333333,0.7333333333333333,1.0,0.6533333333333334,0.46530967498215337,0.949996731468197,0.906681042480543
coverage_aware,RE2-OB,disk,0.1,15,0.2,0.6,1.0,0.64,0.44081799863559035,0.8999979390068594,0.8243476581868462
coverage_aware,RE2-OB,disk,0.25,15,0.2,0.6666666666666666,1.0,0.6933333333333334,0.36734916010176966,0.7500036099896878,0.5909460803883296
coverage_aware,RE2-OB,disk,0.5,15,0.2,0.7333333333333333,1.0,0.7066666666666667,0.24489186949861258,0.500001524894234,0.22570023794811522
coverage_aware,RE2-OB,disk,1.0,15,0.2,0.8,1.0,0.7066666666666667,0.0,0.0,0.0
coverage_aware,RE2-OB,loss,0.05,15,0.06666666666666667,0.4,0.7333333333333333,0.4266666666666667,0.4201596782251798,0.9500024201686028,0.9005903860514006
coverage_aware,RE2-OB,loss,0.1,15,0.06666666666666667,0.4,0.7333333333333333,0.44000000000000006,0.3980438911231736,0.9000021201374951,0.8087136843078355
coverage_aware,RE2-OB,loss,0.25,15,0.06666666666666667,0.4,0.8666666666666667,0.4666666666666667,0.33170708488727324,0.7499890707731662,0.5471628498698248
coverage_aware,RE2-OB,loss,0.5,15,0.06666666666666667,0.4,0.9333333333333333,0.49333333333333335,0.22112005328762682,0.4999765302531787,0.18173514178639677
coverage_aware,RE2-OB,loss,1.0,15,0.06666666666666667,0.4666666666666667,0.8666666666666667,0.49333333333333335,0.0,0.0,0.0
coverage_aware,RE2-OB,mem,0.05,15,0.0,0.4,0.9333333333333333,0.5066666666666667,0.4374566853052491,0.9499976642716649,0.9065862910536765
coverage_aware,RE2-OB,mem,0.1,15,0.0,0.4666666666666667,1.0,0.5466666666666667,0.4144353031405958,0.9000121309832901,0.824735174899187
coverage_aware,RE2-OB,mem,0.25,15,0.0,0.4666666666666667,1.0,0.5466666666666667,0.34535260545786906,0.7499949915623504,0.5876890236518496
coverage_aware,RE2-OB,mem,0.5,15,0.0,0.5333333333333333,1.0,0.5866666666666667,0.2302224425709468,0.49998970915784186,0.21359525915990635
coverage_aware,RE2-OB,mem,1.0,15,0.0,0.5333333333333333,1.0,0.5866666666666667,0.0,0.0,0.0
coverage_aware,RE2-OB,socket,0.05,15,0.0,0.5333333333333333,0.9333333333333333,0.5466666666666667,0.4608410393443206,0.9499993448994547,0.9078991164303419
