dataset,service,fault,instance,budget,policy,avg5_case_policy,top1_case_policy,top3_case_policy,top5_case_policy,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
RE2-OB,checkoutservice,cpu,3,0.25,abnormality_topk,0.8,0.0,1.0,1.0,0.3764815339185308,0.7500402900886383,0.6158351779329133
RE2-OB,checkoutservice,cpu,3,0.25,coverage_aware,1.0,1.0,1.0,1.0,0.3764815339185308,0.7500402900886383,0.5828999537836589
RE2-OB,checkoutservice,cpu,3,0.25,early_window,0.8,0.0,1.0,1.0,0.37652198535657944,0.7500402900886383,0.7511517598696212
RE2-OB,checkoutservice,cpu,3,0.25,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.3764815339185308,0.7500402900886383,0.587322127897643
RE2-OB,checkoutservice,cpu,3,0.25,late_window,0.8,0.0,1.0,1.0,0.3764815339185308,0.7500402900886383,0.7509231106030017
RE2-OB,checkoutservice,cpu,3,0.25,latency_service_diversity,0.8,0.0,1.0,1.0,0.3764815339185308,0.7500402900886383,0.6122108438130913
RE2-OB,checkoutservice,cpu,3,0.25,latency_topk,0.8,0.0,1.0,1.0,0.3764815339185308,0.7500402900886383,0.6117438155238257
RE2-OB,checkoutservice,cpu,3,0.25,random,0.8800000000000001,0.4,1.0,1.0,0.3764936693499454,0.7500402900886383,0.7499301890005108
RE2-OB,checkoutservice,cpu,3,0.25,service_aware_abnormality,0.8,0.0,1.0,1.0,0.3764815339185308,0.7500402900886383,0.6158351779329133
RE2-OB,checkoutservice,cpu,3,0.5,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.2509607216536548,0.5,0.2526817640047676
RE2-OB,checkoutservice,cpu,3,0.5,abnormality_topk,0.8,0.0,1.0,1.0,0.2509607216536548,0.5,0.2526817640047676
RE2-OB,checkoutservice,cpu,3,0.5,coverage_aware,1.0,1.0,1.0,1.0,0.25100117309170344,0.5,0.23068765050716356
RE2-OB,checkoutservice,cpu,3,0.5,early_window,0.8,0.0,1.0,1.0,0.25100117309170344,0.5,0.5002991899978109
RE2-OB,checkoutservice,cpu,3,0.5,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.2509607216536548,0.5,0.22805575150203106
RE2-OB,checkoutservice,cpu,3,0.5,late_window,0.8,0.0,1.0,1.0,0.2509607216536548,0.5,0.49970081000218924
RE2-OB,checkoutservice,cpu,3,0.5,latency_service_diversity,0.8,0.0,1.0,1.0,0.2509607216536548,0.5,0.24797742696601888
RE2-OB,checkoutservice,cpu,3,0.5,latency_topk,0.8,0.0,1.0,1.0,0.2509607216536548,0.5,0.24754931770085864
RE2-OB,checkoutservice,cpu,3,0.5,random,0.8200000000000001,0.1,1.0,1.0,0.2509809473726791,0.5,0.5005794069713703
RE2-OB,checkoutservice,cpu,3,0.5,service_aware_abnormality,0.8,0.0,1.0,1.0,0.2509607216536548,0.5,0.2526817640047676
RE2-OB,checkoutservice,cpu,3,1.0,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,1.0,abnormality_topk,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,1.0,coverage_aware,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,1.0,early_window,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,1.0,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,1.0,late_window,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,1.0,latency_service_diversity,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,1.0,latency_topk,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,1.0,random,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,3,1.0,service_aware_abnormality,0.8,0.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,delay,1,0.05,abnormality_service_diversity,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296962,0.9196078040614599
RE2-OB,checkoutservice,delay,1,0.05,abnormality_topk,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296962,0.9196078040614599
RE2-OB,checkoutservice,delay,1,0.05,coverage_aware,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296962,0.9086071862731422
RE2-OB,checkoutservice,delay,1,0.05,early_window,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296962,0.9498196456685067
RE2-OB,checkoutservice,delay,1,0.05,hybrid_abnormality_latency,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296962,0.9073516809820842
RE2-OB,checkoutservice,delay,1,0.05,late_window,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296962,0.950143486318978
RE2-OB,checkoutservice,delay,1,0.05,latency_service_diversity,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296962,0.9178092429103808
RE2-OB,checkoutservice,delay,1,0.05,latency_topk,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296962,0.9176697423224855
RE2-OB,checkoutservice,delay,1,0.05,random,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296961,0.9494380119173359
RE2-OB,checkoutservice,delay,1,0.05,service_aware_abnormality,1.0,1.0,1.0,1.0,0.47021602450427213,0.9500040713296962,0.9196078040614599
RE2-OB,checkoutservice,delay,1,0.1,abnormality_service_diversity,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593926,0.9137587436975627
RE2-OB,checkoutservice,delay,1,0.1,abnormality_topk,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593926,0.9137338328782957
RE2-OB,checkoutservice,delay,1,0.1,coverage_aware,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593926,0.8214890691325056
RE2-OB,checkoutservice,delay,1,0.1,early_window,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593926,0.8980101237569501
RE2-OB,checkoutservice,delay,1,0.1,hybrid_abnormality_latency,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593926,0.8254449072321091
RE2-OB,checkoutservice,delay,1,0.1,late_window,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593926,0.9006207776161342
RE2-OB,checkoutservice,delay,1,0.1,latency_service_diversity,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593926,0.8874479363877319
RE2-OB,checkoutservice,delay,1,0.1,latency_topk,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593926,0.8874230255684649
RE2-OB,checkoutservice,delay,1,0.1,random,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593927,0.8996004304589569
RE2-OB,checkoutservice,delay,1,0.1,service_aware_abnormality,1.0,1.0,1.0,1.0,0.4454699339029502,0.9000081426593926,0.9137338328782957
RE2-OB,checkoutservice,delay,1,0.25,abnormality_service_diversity,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.7503836266167122
RE2-OB,checkoutservice,delay,1,0.25,abnormality_topk,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.7503836266167122
RE2-OB,checkoutservice,delay,1,0.25,coverage_aware,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.5809900556009486
RE2-OB,checkoutservice,delay,1,0.25,early_window,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.749212818111162
RE2-OB,checkoutservice,delay,1,0.25,hybrid_abnormality_latency,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.5823352398413679
RE2-OB,checkoutservice,delay,1,0.25,late_window,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.7499701070168796
RE2-OB,checkoutservice,delay,1,0.25,latency_service_diversity,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.740314673468981
RE2-OB,checkoutservice,delay,1,0.25,latency_topk,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.7396769564957453
RE2-OB,checkoutservice,delay,1,0.25,random,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.7478651427888161
RE2-OB,checkoutservice,delay,1,0.25,service_aware_abnormality,1.0,1.0,1.0,1.0,0.3712316620989844,0.7500203566484814,0.7503836266167122
RE2-OB,checkoutservice,delay,1,0.5,abnormality_service_diversity,1.0,1.0,1.0,1.0,0.2475012090923746,0.5000407132969629,0.3618445963450846
RE2-OB,checkoutservice,delay,1,0.5,abnormality_topk,1.0,1.0,1.0,1.0,0.2475012090923746,0.5000407132969629,0.3618445963450846
RE2-OB,checkoutservice,delay,1,0.5,coverage_aware,1.0,1.0,1.0,1.0,0.2475012090923746,0.5000407132969629,0.22273261723031546
RE2-OB,checkoutservice,delay,1,0.5,early_window,1.0,1.0,1.0,1.0,0.2475012090923746,0.5000407132969629,0.5013003447657387
RE2-OB,checkoutservice,delay,1,0.5,hybrid_abnormality_latency,1.0,1.0,1.0,1.0,0.2475012090923746,0.5000407132969629,0.2205554116263776
