case_id,budget,fold,model,rank,top1,top3,top5,avg_at_5
mobservice2_memory_1625676811,0.5,1,deterministic_formula,1,1,1,1,1.0
mobservice2_memory_1625697606,0.5,1,deterministic_formula,4,0,0,1,0.4
mobservice2_memory_1625742099,0.5,1,deterministic_formula,2,0,1,1,0.8
mobservice2_memory_1626030275,0.5,1,deterministic_formula,3,0,1,1,0.6
mobservice2_memory_1626061939,0.5,1,deterministic_formula,4,0,0,1,0.4
mobservice2_memory_1626132020,0.5,1,deterministic_formula,5,0,0,1,0.2
mobservice2_memory_1626157765,0.5,1,deterministic_formula,4,0,0,1,0.4
mobservice2_memory_1626198509,0.5,1,deterministic_formula,4,0,0,1,0.4
mobservice2_memory_1626411067,0.5,1,deterministic_formula,1,1,1,1,1.0
mobservice2_memory_1626458752,0.5,1,deterministic_formula,2,0,1,1,0.8
mobservice2_memory_1627204060,0.5,1,deterministic_formula,2,0,1,1,0.8
mobservice2_memory_1627731436,0.5,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1625152105,0.5,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1625179967,0.5,1,deterministic_formula,5,0,0,1,0.2
mobservice2_qr_expired_1625242846,0.5,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1625390816,0.5,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1625553275,0.5,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1625586485,0.5,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1625827086,0.5,1,deterministic_formula,5,0,0,1,0.2
mobservice2_qr_expired_1626027488,0.5,1,deterministic_formula,4,0,0,1,0.4
mobservice2_qr_expired_1626179787,0.5,1,deterministic_formula,3,0,1,1,0.6
mobservice2_qr_expired_1626516592,0.5,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1626607755,0.5,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1626763751,0.5,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1626885208,0.5,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1626999471,0.5,1,deterministic_formula,1,1,1,1,1.0
redisservice1_memory_1625420467,0.5,1,deterministic_formula,5,0,0,1,0.2
redisservice1_memory_1625473678,0.5,1,deterministic_formula,2,0,1,1,0.8
