dataset,service,fault,instance,policy,budget,top1,top3,top5,avg5,full_trace_count,kept_trace_count,full_anomalous_trace_count,kept_anomalous_trace_count
RE2-OB,currencyservice,cpu,1,random,0.5,0.0,1.0,1.0,0.8,24408,18452,11912,5956
RE2-OB,currencyservice,cpu,1,random,1.0,0.0,1.0,1.0,0.8,24408,24408,11912,11912
RE2-OB,currencyservice,cpu,1,early_window,0.1,0.0,1.0,1.0,0.8,24408,13687,11912,1191
RE2-OB,currencyservice,cpu,1,early_window,0.25,0.0,1.0,1.0,0.8,24408,15474,11912,2978
RE2-OB,currencyservice,cpu,1,early_window,0.5,0.0,1.0,1.0,0.8,24408,18452,11912,5956
RE2-OB,currencyservice,cpu,1,early_window,1.0,0.0,1.0,1.0,0.8,24408,24408,11912,11912
RE2-OB,currencyservice,cpu,1,late_window,0.1,0.0,1.0,1.0,0.8,24408,13687,11912,1191
RE2-OB,currencyservice,cpu,1,late_window,0.25,0.0,1.0,1.0,0.8,24408,15474,11912,2978
RE2-OB,currencyservice,cpu,1,late_window,0.5,0.0,1.0,1.0,0.8,24408,18452,11912,5956
RE2-OB,currencyservice,cpu,1,late_window,1.0,0.0,1.0,1.0,0.8,24408,24408,11912,11912
RE2-OB,currencyservice,cpu,2,random,0.1,0.0,1.0,1.0,0.8,24351,13516,12039,1204
RE2-OB,currencyservice,cpu,2,random,0.25,0.0,1.0,1.0,0.8,24351,15322,12039,3010
RE2-OB,currencyservice,cpu,2,random,0.5,0.0,1.0,1.0,0.8,24351,18332,12039,6020
RE2-OB,currencyservice,cpu,2,random,1.0,0.0,1.0,1.0,0.8,24351,24351,12039,12039
RE2-OB,currencyservice,cpu,2,early_window,0.1,0.0,1.0,1.0,0.6,24351,13516,12039,1204
RE2-OB,currencyservice,cpu,2,early_window,0.25,0.0,1.0,1.0,0.8,24351,15322,12039,3010
RE2-OB,currencyservice,cpu,2,early_window,0.5,0.0,1.0,1.0,0.8,24351,18332,12039,6020
RE2-OB,currencyservice,cpu,2,early_window,1.0,0.0,1.0,1.0,0.8,24351,24351,12039,12039
RE2-OB,currencyservice,cpu,2,late_window,0.1,0.0,1.0,1.0,0.8,24351,13516,12039,1204
RE2-OB,currencyservice,cpu,2,late_window,0.25,0.0,1.0,1.0,0.8,24351,15322,12039,3010
RE2-OB,currencyservice,cpu,2,late_window,0.5,0.0,1.0,1.0,0.8,24351,18332,12039,6020
RE2-OB,currencyservice,cpu,2,late_window,1.0,0.0,1.0,1.0,0.8,24351,24351,12039,12039
RE2-OB,currencyservice,cpu,3,random,0.1,0.0,1.0,1.0,0.8,24583,13788,11995,1200
RE2-OB,currencyservice,cpu,3,random,0.25,0.0,1.0,1.0,0.8,24583,15587,11995,2999
RE2-OB,currencyservice,cpu,3,random,0.5,0.0,1.0,1.0,0.8,24583,18586,11995,5998
RE2-OB,currencyservice,cpu,3,random,1.0,0.0,1.0,1.0,0.8,24583,24583,11995,11995
RE2-OB,currencyservice,cpu,3,early_window,0.1,0.0,1.0,1.0,0.8,24583,13788,11995,1200
RE2-OB,currencyservice,cpu,3,early_window,0.25,0.0,1.0,1.0,0.8,24583,15587,11995,2999
RE2-OB,currencyservice,cpu,3,early_window,0.5,0.0,1.0,1.0,0.8,24583,18586,11995,5998
RE2-OB,currencyservice,cpu,3,early_window,1.0,0.0,1.0,1.0,0.8,24583,24583,11995,11995
RE2-OB,currencyservice,cpu,3,late_window,0.1,0.0,1.0,1.0,0.8,24583,13788,11995,1200
RE2-OB,currencyservice,cpu,3,late_window,0.25,0.0,1.0,1.0,0.8,24583,15587,11995,2999
