dataset,fault,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-OB,disk,0.1,2031,15,0.2,0.7333333333333333,1.0,0.6799999999999999,0.4408631960978527,0.8999979390068594
RE2-OB,disk,0.1,2032,15,0.2,0.8,1.0,0.6933333333333334,0.4408631960978527,0.8999979390068594
RE2-OB,disk,0.1,2033,15,0.2,0.6666666666666666,0.9333333333333333,0.6266666666666667,0.4408631960978527,0.8999979390068594
RE2-OB,disk,0.1,2034,15,0.13333333333333333,0.8,1.0,0.6799999999999999,0.4408631960978527,0.8999979390068594
RE2-OB,disk,0.1,2035,15,0.2,0.8,1.0,0.7066666666666667,0.4408631960978527,0.8999979390068594
RE2-OB,disk,0.15,2026,15,0.2,0.7333333333333333,1.0,0.6933333333333334,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.15,2027,15,0.2,0.8,1.0,0.7066666666666667,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.15,2028,15,0.2,0.8,1.0,0.7066666666666667,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.15,2029,15,0.2,0.8,1.0,0.6799999999999999,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.15,2030,15,0.2,0.8,1.0,0.7066666666666667,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.15,2031,15,0.2,0.8,1.0,0.7066666666666667,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.15,2032,15,0.2,0.8,1.0,0.7066666666666667,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.15,2033,15,0.2,0.8,1.0,0.7066666666666667,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.15,2034,15,0.2,0.7333333333333333,1.0,0.6933333333333334,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.15,2035,15,0.2,0.7333333333333333,0.9333333333333333,0.64,0.4163690239186504,0.84999458084495
RE2-OB,disk,0.2,2026,15,0.2,0.8,1.0,0.7066666666666667,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.2,2027,15,0.2,0.8,1.0,0.7066666666666667,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.2,2028,15,0.2,0.8,1.0,0.6933333333333334,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.2,2029,15,0.2,0.8,1.0,0.6799999999999999,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.2,2030,15,0.2,0.8,1.0,0.7066666666666667,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.2,2031,15,0.13333333333333333,0.8,1.0,0.6933333333333334,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.2,2032,15,0.2,0.8,1.0,0.7066666666666667,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.2,2033,15,0.2,0.8,1.0,0.7066666666666667,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.2,2034,15,0.2,0.8,1.0,0.7066666666666667,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.2,2035,15,0.2,0.8,1.0,0.6933333333333334,0.3918777156530396,0.7999971618437195
RE2-OB,disk,0.25,2026,15,0.2,0.8,1.0,0.6933333333333334,0.3673887318804271,0.7500036099896878
