dataset,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-TT,0.35,2031,90,0.8222222222222222,0.9888888888888889,1.0,0.9577777777777778,0.3168436672538079,0.650005038330046
RE2-TT,0.35,2032,90,0.8666666666666667,0.9888888888888889,0.9888888888888889,0.9644444444444444,0.3168436672538079,0.650005038330046
RE2-TT,0.35,2033,90,0.8333333333333334,0.9888888888888889,1.0,0.9600000000000001,0.3168436672538079,0.650005038330046
RE2-TT,0.35,2034,90,0.8444444444444444,0.9888888888888889,1.0,0.9600000000000001,0.3168436672538079,0.650005038330046
RE2-TT,0.35,2035,90,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9533333333333333,0.3168436672538079,0.650005038330046
RE2-TT,0.5,2026,90,0.8444444444444444,0.9888888888888889,0.9888888888888889,0.9555555555555556,0.24371348181550725,0.49997681763131196
RE2-TT,0.5,2027,90,0.8444444444444444,0.9777777777777777,0.9888888888888889,0.9533333333333333,0.24371348181550725,0.49997681763131196
RE2-TT,0.5,2028,90,0.8444444444444444,0.9777777777777777,0.9888888888888889,0.951111111111111,0.24371348181550725,0.49997681763131196
RE2-TT,0.5,2029,90,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9555555555555556,0.24371348181550725,0.49997681763131196
RE2-TT,0.5,2030,90,0.8333333333333334,0.9888888888888889,1.0,0.9533333333333333,0.24371348181550725,0.49997681763131196
RE2-TT,0.5,2031,90,0.8444444444444444,0.9888888888888889,1.0,0.9600000000000001,0.24371348181550725,0.49997681763131196
RE2-TT,0.5,2032,90,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9533333333333333,0.24371348181550725,0.49997681763131196
RE2-TT,0.5,2033,90,0.8333333333333334,0.9777777777777777,1.0,0.9555555555555556,0.24371348181550725,0.49997681763131196
RE2-TT,0.5,2034,90,0.8444444444444444,0.9888888888888889,0.9888888888888889,0.9600000000000001,0.24371348181550725,0.49997681763131196
RE2-TT,0.5,2035,90,0.8444444444444444,0.9777777777777777,1.0,0.9555555555555556,0.24371348181550725,0.49997681763131196
RE2-TT,0.75,2026,90,0.8222222222222222,0.9777777777777777,1.0,0.951111111111111,0.12186612178363296,0.250010045727328
RE2-TT,0.75,2027,90,0.8333333333333334,0.9777777777777777,1.0,0.9533333333333333,0.12186612178363296,0.250010045727328
RE2-TT,0.75,2028,90,0.8222222222222222,0.9888888888888889,1.0,0.9555555555555556,0.12186612178363296,0.250010045727328
RE2-TT,0.75,2029,90,0.8222222222222222,0.9777777777777777,1.0,0.951111111111111,0.12186612178363296,0.250010045727328
RE2-TT,0.75,2030,90,0.8333333333333334,0.9777777777777777,0.9888888888888889,0.951111111111111,0.12186612178363296,0.250010045727328
RE2-TT,0.75,2031,90,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9555555555555556,0.12186612178363296,0.250010045727328
RE2-TT,0.75,2032,90,0.8555555555555555,0.9888888888888889,1.0,0.9622222222222222,0.12186612178363296,0.250010045727328
RE2-TT,0.75,2033,90,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9533333333333333,0.12186612178363296,0.250010045727328
